hh,mm,x (min in day),y0,y1,y2
3,48,228,1842.11,25036.264,0.198
3,51,231,8565.657,160401.989,1.199
3,54,234,992.768,18249.537,0.141
3,57,237,1862.222,53671.733,0.244
4,0,240,2216,68042.968,0.28
4,3,243,1310.4,34043.794,0.166
4,6,246,3114,21660.489,0.35
4,9,249,3226.475,70708.641,0.249
4,12,252,1641.067,16168.267,0.217
4,15,255,3244.022,35091.589,0.384
4,18,258,9638.446,269412.526,0.72
4,21,261,3682.198,47527.78,0.407
4,24,264,16751.106,779239.374,1.441
4,27,267,15151.781,623220.94,0.869
4,30,270,2895.818,92988.682,0.318
4,33,273,12904.652,555337.043,0.924
4,36,276,2420.48,31545.737,0.286
4,39,279,6088.923,68475.912,0.703
4,42,282,18032.352,270791.209,2.033
4,45,285,2648.181,23237.243,0.299
4,48,288,7215.783,117292.783,0.734
4,51,291,6490.202,156643.506,0.461
4,54,294,5548.899,95670.472,0.494
4,57,297,25080.4,571119.289,2.45
5,0,300,6604.404,106158.697,0.612
5,3,303,11191.519,382379.41,0.59
5,6,306,2967.508,92015.732,0.358
5,9,309,3078.391,68401.564,0.285
5,12,312,3577.702,64809.319,0.559
5,15,315,12415.356,197838.897,1.414
5,18,318,13120.4,644266.267,0.822
5,21,321,4069.153,72279.548,0.605
5,24,324,2544.267,59920.489,0.4
5,27,327,7026.154,122105.846,0.89
5,30,330,881.808,13302.96,0.124
5,33,333,21840.913,628327.652,0.821
5,36,336,17164.552,646698.696,1.249
5,39,339,9496.626,234143.732,1.056
5,42,342,8760.588,283967.141,0.282
5,45,345,11360.951,475398.962,0.881
5,48,348,1415.589,53051.749,0.166
5,51,351,4423.56,51063.121,0.533
5,54,354,4393.856,63415.293,0.564
5,57,357,28975.067,1110920.489,2.756
6,0,360,2767.957,29176.735,0.535
6,3,363,7084.558,161251.535,0.843
6,6,366,4955.209,45852.703,0.846
6,9,369,7073.778,131918.622,1.028
6,12,372,5783.598,71012.469,0.592
6,15,375,3816,75174.746,0.438
6,18,378,21873.853,860167.638,1.175
6,21,381,2046.978,73171.2,0.161
6,24,384,14502.099,738944.53,0.972
6,27,387,30293.831,877902.508,1.718
6,30,390,9903.735,645096.619,0.856
6,33,393,146965.478,5358242.174,0.391
6,36,396,23733.591,790109.773,0.568
6,39,399,1779.022,33653.467,0.211
6,42,402,12365.65,633955.299,0.785
6,45,405,36332.396,1198456,1.396
6,48,408,23565.596,683901.727,1.284
6,51,411,1341.394,29055.817,0.177
6,54,414,35239.385,1373376.132,1.643
6,57,417,21077.569,679851.448,0.928
7,0,420,9375.156,476489.822,0.656
7,3,423,30054.659,807814.525,1.313
7,6,426,6890.465,155365.319,0.627
7,9,429,30344.506,666000.46,1.282
7,12,432,17408.13,741897.903,1.157
7,15,435,2200.928,46368,0.287
7,18,438,19001.463,713106.149,1.097
7,21,441,16140.862,500876.773,0.862
7,24,444,2971.956,57770.933,0.383
7,27,447,12878.48,606191.33,0.927
7,30,450,30517.569,1375050.21,1.597
7,33,453,15443.48,623563.119,0.684
7,36,456,5635.41,153663.344,0.563
7,39,459,7917.006,155589.631,0.883
7,42,462,69924.086,3548702.366,0.86
7,45,465,122745.977,6269429.011,1.138
7,48,468,10157.989,429457.743,0.391
7,51,471,19588.818,627711.602,0.95
7,54,474,31180.52,1287018.35,1.706
7,57,477,33493.596,1600067.76,2.355
8,0,480,4665.2,118506.444,0.539
8,3,483,31445.511,1513688.311,2.117
8,6,486,10665.956,418873.244,1.139
8,9,489,15376.571,689364.615,1.132
8,12,492,5026.739,45577.522,0.495
8,15,495,2146,56980.727,0.358
8,18,498,21533.663,660484.09,0.888
8,21,501,18342,811040.533,1.433
8,24,504,3036.546,126734.339,0.246
8,27,507,44358.227,2058171.818,2.068
8,30,510,15544.731,468821.892,1.022
8,33,513,9466.606,292157.531,1.057
8,36,516,14635.541,597690.055,0.716
8,39,519,21705.944,995581.424,1.458
8,42,522,26406.753,816732.258,0.984
8,45,525,2673.425,49032.506,0.299
8,48,528,7104.894,137782.17,0.782
8,51,531,21592.411,687211.84,1.166
8,54,534,26003.371,765963.191,1.517
8,57,537,19253.631,593853.408,0.888
9,0,540,3536.804,96104.939,0.503
9,3,543,2085.027,58571.847,0.197
9,6,546,52422.966,1348226.831,1.972
9,9,549,19321.989,691877.665,1.308
9,12,552,29702.558,740998.279,1.628
9,15,555,10310.845,211855.273,1.241
9,18,558,13451.182,750413.455,1.193
9,21,561,2379.067,60471.244,0.294
9,24,564,27594.065,702495.613,1.43
9,27,567,9917.273,652120.273,1.028
9,30,570,10128.581,650557.542,0.765
9,33,573,24027.299,703661.921,1.384
9,36,576,3636.62,151552.299,0.246
9,39,579,2394.636,26934.909,0.307
9,42,582,11610.33,280095.912,1.495
9,45,585,4794.517,149979.416,0.478
9,48,588,3877.034,111727.73,0.624
9,51,591,11490.592,315610.905,0.966
9,54,594,34362.194,1321658.495,2.07
9,57,597,1984.366,46299.657,0.263
10,0,600,28946.913,1401710.565,1.717
10,3,603,18157.12,376135.04,1.674
10,6,606,10076.088,303785.011,0.484
10,9,609,23644.916,860960.76,1.296
10,12,612,11020.667,434123.911,1.122
10,15,615,3965.596,81922.142,0.306
10,18,618,11280.225,344611.461,0.994
10,21,621,28056.489,1035960.8,1.128
10,24,624,30014.365,1001586.21,2.403
10,27,627,64828.8,2150717.289,2.606
10,30,630,16980.044,464372.176,0.522
10,33,633,21330.905,1223400.045,1.369
10,36,636,19024.175,714115.76,1.415
10,39,639,41280.626,1964801.877,2.603
10,42,642,20232.751,829738.696,1.265
10,45,645,14913.492,358416.452,0.802
10,48,648,5853.559,136246.011,0.644
10,51,651,28128.787,1295138.667,1.443
10,54,654,10440.962,279276.022,1.027
10,57,657,11889.311,403319.458,0.746
11,0,660,19626.304,722437.913,1.342
11,3,663,4708.326,91185.023,0.477
11,6,666,2697.187,19164.615,0.297
11,9,669,21869.663,1244562.292,1.388
11,12,672,29181.846,1526813.89,2.335
11,15,675,7472.044,247763.289,1.194
11,18,678,23690.652,680201.105,1.751
11,21,681,34048.227,980394.591,2.943
11,24,684,27894.907,965089.661,1.049
11,27,687,122668.94,5962838.383,2.273
11,30,690,14446.022,763282.787,0.865
11,33,693,30672.536,1481051.441,3.134
11,36,696,15824.629,704121.303,0.888
11,39,699,15237.481,411859.669,1.343
11,42,702,3206.078,92161.073,0.302
11,45,705,17463.556,861310.444,1.467
11,48,708,25591.043,1130720.913,1.636
11,51,711,10915.824,512120.835,0.687
11,54,714,46913.124,1689005.708,2.506
11,57,717,7605.573,130878.022,1.056
12,0,720,44648.511,1899939.021,2.665
12,3,723,4558.977,156983.209,0.331
12,6,726,8468.609,239620.391,0.386
12,9,729,39387.307,1665416.894,2.196
12,12,732,24354.564,705121.68,1.939
12,15,735,13299.2,208496.844,1.178
12,18,738,19208.879,288346.637,1.797
12,21,741,135265.195,8425470.897,1.787
12,24,744,27569.289,1301127.022,1.894
12,27,747,3433.55,139356.105,0.45
12,30,750,6726.084,54997.126,0.695
12,33,753,40129.901,1235496.575,1.718
19,27,1167,3123.673,66328.98,0.474
19,30,1170,6645.217,135790.112,1.18
19,33,1173,11851.939,270561.584,0.929
19,36,1176,2511.509,18656.982,0.583
19,39,1179,4544.475,208767.921,0.946
19,42,1182,3826.038,113289.529,0.624
19,45,1185,11185.769,263298.975,1.709
19,48,1188,14142.509,319610.634,1.261
19,51,1191,2157.134,56066.428,0.373
19,54,1194,7745.45,204659.65,1.194
19,57,1197,3584.64,84040.8,0.555
20,0,1200,5803.012,194679.556,0.58
20,3,1203,4261.571,128694.492,0.518
20,6,1206,4928.856,107992.257,0.727
20,9,1209,17680.96,532182.08,1.72
20,12,1212,2258.793,115727.953,0.308
20,15,1215,9776.653,199076.653,1.281
20,18,1218,3753.873,83502.278,0.481
20,21,1221,3336.69,74646.294,0.66
20,24,1224,1590.19,26069.619,0.321
20,27,1227,1576.129,35266.581,0.306
20,30,1230,4354.133,54756.062,0.549
20,33,1233,18575.243,477083.361,1.698
20,36,1236,10621.576,260769.455,1.006
20,39,1239,2081.265,91219.143,0.301
20,42,1242,9407.521,239656,0.808
